Herb.1,Herb.2,Est.1,Obsv.1,p-value.1,Interaction.1,Est.2,Obsv.2,p-value.2,Interaction.2,Average
Clethodim 76.8,Dicamba 560,76,72,0.346,ADDITIVE,77,39,<0.001,ANTAGONISTIC,55
Clethodim 102,Dicamba 560,96,88,0.005,ANTAGONISTIC,82,62,0.006,ANTAGONISTIC,75
Clethodim 136,Dicamba 560,98,95,0.027,ANTAGONISTIC,91,77,0.002,ANTAGONISTIC,86
Clethodim 76.8,Dicamba 560,89,50,<0.001,ANTAGONISTIC,80,39,<0.001,ANTAGONISTIC,44
Clethodim 102,Dicamba 560,98,74,<0.001,ANTAGONISTIC,92,58,<0.001,ANTAGONISTIC,66
Clethodim 136,Dicamba 560,97,94,0.007,ANTAGONISTIC,93,75,0.004,ANTAGONISTIC,85
