month,2019,2020,historical
Jan,2.54,3.3,8.64
Feb,11.94,6.35,13.21
Mar,63.25,40.39,26.67
Apr,36.83,19.05,57.66
May,167.64,97.79,82.55
Jun,122.68,15.24,86.87
Jul,138.18,137.16,77.98
Aug,89.15,2.79,58.17
Sep,12.95,18.29,35.81
Oct,129.54,7.37,39.37
Nov,12.45,0,16.26
Dec,20.32,0,10.41
Year,807.47,347.73,513.59
