Herb.1,Herb.2,Est.1,Obsv.1,p-value.1,Interaction.1,Est.2,Obsv.2,p-value.2,Interaction.2,Average
Clethodim 76.8,Dicamba 560,82,72,0.004,ANTAGONISTIC,63,52,<0.001,ANTAGONISTIC,62
Clethodim 102,Dicamba 560,83,71,0.002,ANTAGONISTIC,69,58,<0.001,ANTAGONISTIC,65
Clethodim 136,Dicamba 560,79,58,0.001,ANTAGONISTIC,76,65,<0.001,ANTAGONISTIC,62
Clethodim 76.8,Dicamba 560,79,79,0.296,ADDITIVE,75,66,0.007,ANTAGONISTIC,73
Clethodim 102,Dicamba 560,88,57,<0.001,ANTAGONISTIC,79,69,<0.001,ANTAGONISTIC,63
Clethodim 136,Dicamba 560,80,40,<0.001,ANTAGONISTIC,74,73,0.021,ANTAGONISTIC,57
